"H, A/m","Upper B, T","Lower B, T"
-1973.5194703894078,-0.49006562603356135,-0.4900681709180091
-1973.4394687893757,-0.490065227413753,-0.4900677801391468
-1973.3594671893438,-0.49006482876210794,-0.4900673893293826
-1973.2794655893117,-0.4900644300786223,-0.4900669984887127
-1973.1994639892798,-0.4900640313632923,-0.49006660761713344
-1973.1194623892477,-0.49006363261611413,-0.49006621671464123
-1973.0394607892158,-0.4900632338370839,-0.4900658257812323
-1972.9594591891837,-0.4900628350261979,-0.490065434816903
-1972.8794575891518,-0.49006243618345224,-0.4900650438216497
-1972.7994559891197,-0.4900620373088431,-0.4900646527954688
-1972.7194543890878,-0.4900616384023667,-0.4900642617383565
-1972.6394527890557,-0.49006123946401925,-0.49006387065030915
-1972.5594511890238,-0.49006084049379683,-0.4900634795313232
-1972.4794495889919,-0.4900604414916957,-0.4900630883813948
-1972.3994479889598,-0.49006004245771195,-0.49006269720052037
-1972.3194463889279,-0.4900596433918419,-0.49006230598869627
-1972.2394447888958,-0.49005924429408165,-0.4900619147459188
-1972.1594431888639,-0.4900588451644273,-0.49006152347218424
-1972.0794415888317,-0.4900584460028752,-0.490061132167489
-1971.9994399887998,-0.4900580468094214,-0.4900607408318293
-1971.9194383887677,-0.49005764758406206,-0.49006034946520155
-1971.8394367887358,-0.4900572483267934,-0.49005995806760205
-1971.7594351887037,-0.49005684903761165,-0.49005956663902717
-1971.6794335886718,-0.4900564497165129,-0.4900591751794731
-1971.5994319886397,-0.49005605036349337,-0.4900587836889363
-1971.5194303886078,-0.4900556509785492,-0.490058392167413
-1971.4394287885757,-0.49005525156167656,-0.49005800061489957
-1971.3594271885438,-0.49005485211287164,-0.49005760903139234
-1971.2794255885117,-0.4900544526321306,-0.49005721741688757
-1971.1994239884798,-0.49005405311944966,-0.4900568257713816
-1971.1194223884477,-0.4900536535748249,-0.4900564340948708
-1971.0394207884158,-0.49005325399825256,-0.49005604238735145
-1970.9594191883837,-0.4900528543897288,-0.4900556506488199
-1970.8794175883518,-0.49005245474924974,-0.49005525887927237
-1970.7994159883197,-0.49005205507681154,-0.4900548670787053
-1970.7194143882878,-0.49005165537241047,-0.49005447524711493
-1970.6394127882559,-0.49005125563604257,-0.49005408338449763
