"H, A/m","B, T"
-21.11111111111111,-0.14422578382173104
-21.05105105105105,-0.1438801049724154
-20.99099099099099,-0.14353375083588538
-20.93093093093093,-0.14318671937703992
-20.87087087087087,-0.14283900855241255
-20.81081081081081,-0.14249061631012783
-20.75075075075075,-0.14214154058985706
-20.69069069069069,-0.1417917793227743
-20.63063063063063,-0.1414413304315114
-20.57057057057057,-0.14109019183011345
-20.51051051051051,-0.14073836142399349
-20.45045045045045,-0.140385837109887
-20.39039039039039,-0.14003261677580633
-20.33033033033033,-0.13967869830099439
-20.27027027027027,-0.13932407955587864
-20.21021021021021,-0.13896875840202425
-20.15015015015015,-0.13861273269208724
-20.09009009009009,-0.13825600026976725
-20.03003003003003,-0.13789855896976003
-19.96996996996997,-0.1375404066177095
-19.90990990990991,-0.13718154103015978
-19.84984984984985,-0.13682196001450644
-19.78978978978979,-0.13646166136894816
-19.72972972972973,-0.13610064288243712
-19.66966966966967,-0.1357389023346301
-19.60960960960961,-0.13537643749583828
-19.54954954954955,-0.13501324612697752
-19.48948948948949,-0.13464932597951793
-19.42942942942943,-0.13428467479543293
-19.36936936936937,-0.13391929030714855
-19.30930930930931,-0.13355317023749172
-19.24924924924925,-0.13318631229963887
-19.18918918918919,-0.13281871419706362
-19.12912912912913,-0.1324503736234846
-19.06906906906907,-0.13208128826281254
-19.00900900900901,-0.1317114557890973
-18.94894894894895,-0.13134087386647436
-18.88888888888889,-0.13096954014911122
-18.82882882882883,-0.13059745228115288
-18.76876876876877,-0.13022460789666787
-18.70870870870871,-0.12985100461959284
-18.64864864864865,-0.12947664006367793
-18.58858858858859,-0.12910151183243054
-18.52852852852853,-0.12872561751905992
-18.46846846846847,-0.12834895470642055
-18.40840840840841,-0.1279715209669556
-18.34834834834835,-0.1275933138626396
-18.28828828828829,-0.12721433094492138
-18.22822822822823,-0.12683456975466575
-18.16816816816817,-0.12645402782209575
-18.10810810810811,-0.12607270266673368
-18.04804804804805,-0.1256905917973422
-17.98798798798799,-0.12530769271186507
-17.92792792792793,-0.12492400289736698
-17.86786786786787,-0.12453951982997379
-17.80780780780781,-0.12415424097481162
-17.74774774774775,-0.12376816378594582
-17.68768768768769,-0.12338128570631976
-17.62762762762763,-0.12299360416769277
-17.56756756756757,-0.12260511659057793
